category,title,location,regular_price,discount_price,disc_amt,summary,link
natural,A Conscious Life Hypnotherapy,"6440 Orange Street, Los Angeles",300.0,156.0,52,One 90-Minute Intro Intake Hypnotherapy Session,https://www.groupon.com/deals/a-conscious-life-hypnotherapy-5?deal_option=183c693e-63a1-4a3e-b625-7a580d86a0c6
medical,A Gentle Touch Chiropractic & Massage,561 South Orem Boulevard,145.0,29.0,20,"Chiropractic Exam, Therapies, and Adjustment",https://www.groupon.com/deals/a-gentle-touch-chiropractic-massage-1?deal_option=caf99aa6-cba3-47b2-b828-387ae565caf9
vision,Advanced Eye Care,"1250 E 3900 S, Salt Lake City",4600.0,3200.0,69,LASIK Surgery,https://www.groupon.com/deals/advanced-eye-care-inc-2-4
fitness,Arrichion Hot Yoga Sugarhouse,"2120 South 700 East, Salt Lake City",189.0,35.0,18,Classes,https://www.groupon.com/deals/arrichion-hot-yoga-sugarhouse-1
gyms,Ashton Therapies,"218 East 800 South, Orem",120.0,42.0,35,Fitness and Conditioning Classes,https://www.groupon.com/deals/ashton-therapies
hair,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
spas,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
blowouts,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
fun,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
tanning,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
sports,Beaches Tanning Center,"5512 South Van Winkle Expy, Salt Lake City",81.0,6.0,7,One-Week All-Access Tanning Pass,https://www.groupon.com/deals/beaches-tanning-center-3-7?deal_option=f34e00f4-4127-4354-bed0-9afb25c49fb0
spas,Beautiful U,"495 West Main Street, Lehi",195.0,175.5,90,50 Units of Dysport,https://www.groupon.com/deals/beautiful-u-4?deal_option=a963866e-73c3-4d2a-b4db-1c80b4d7e34f
spas,Blue Cypress Spa,"4568 Highland Drive, Millcreek",105.0,63.0,60,60min hot stone massage,https://www.groupon.com/deals/blue-cypress-spa-7?deal_option=1ad99980-20e1-43b7-a607-bc9db5489062
spas,Body Rock Sculpting Med Spa,"1514 1100 East, Salt Lake City",175.0,119.0,68,One Microblading Touchup,https://www.groupon.com/deals/body-rock-sculpting-med-spa-9?deal_option=3e81ddd1-b93c-45ed-b965-9378339775ff
kids,Bouncin Bins Inflatable Rentals,"3975 Howick Street, Millcreek",193.0,139.0,72,Four-Day Rental for One Bounce House and One Concessions Machine,https://www.groupon.com/deals/bouncin-bins-utah-party-rentals-1?deal_option=2a60208a-7e07-4ffc-963f-5d3658389d40
